"","id","lon","lat","ele","date","sex","age","body","proc"
"402",221,738799.716031996,326600.090337015,250.637756,"2016-03-30","m","juvenil",13.13,3.86
"403",221,738796.72656362,326601.379296148,248.102142,"2016-03-31","m","juvenil",13.13,3.86
"404",221,738798.285320352,326601.403135328,250.189117,"2016-04-02","m","juvenil",13.13,3.86
"405",221,738796.778682252,326602.825996099,245.898407,"2016-03-29","m","juvenil",13.13,3.86
"406",222,738807.162495948,326598.647102511,245.332886,"2016-04-01","m","juvenil",11.44,1.73
"407",222,738796.100440258,326603.482963171,246.210144,"2016-03-29","m","juvenil",11.44,1.73
"408",223,738790.894383362,326604.070686574,246.842178,"2016-03-29","m","juvenil",13.59,3.64
"409",223,738788.452304519,326598.694623236,249.184174,"2016-03-30","m","juvenil",13.59,3.64
"410",223,738768.550483448,326618.410508555,249.738068,"2016-03-31","m","juvenil",13.59,3.64
"411",224,738785.432821558,326597.091323552,251.337631,"2016-03-31","m","juvenil",12.93,4.02
"412",224,738786.745685511,326593.774700773,247.466461,"2016-04-01","m","juvenil",12.93,4.02
"413",224,738784.985761783,326597.195710592,247.70369,"2016-03-29","m","juvenil",12.93,4.02
"414",225,738788.036367563,326606.473893373,247.66301,"2016-03-29","m","juvenil",13.03,3.96
"415",225,738784.508095367,326599.301648908,248.951965,"2016-03-31","m","juvenil",13.03,3.96
"416",225,738799.703029232,326596.086099471,245.317886,"2016-04-07","m","juvenil",13.03,3.96
"417",225,738805.101767278,326592.609525229,242.432922,"2016-04-13","m","juvenil",13.03,3.96
"418",225,738801.292399806,326594.10838833,244.377853,"2016-04-15","m","juvenil",13.03,3.96
"419",225,738802.336674393,326593.790690036,244.108902,"2016-04-16","m","juvenil",13.03,3.96
"420",225,738802.849457772,326594.243426022,241.683777,"2016-04-12","m","juvenil",13.03,3.96
"421",226,738788.984306777,326607.600622406,249.447723,"2016-03-29","m","juvenil",11.61,2
"422",227,738772.138886163,326602.226770847,248.895233,"2016-03-29","f","juvenil",11.99,0
"423",228,738789.858101641,326594.155966052,247.155945,"2016-03-29","f","juvenil",11.75,0
"424",229,738810.082365499,326587.346987445,243.595428,"2016-03-29","m","juvenil",9.37,0.89
"425",229,738789.885903199,326587.482993808,247.838104,"2016-03-30","m","juvenil",9.37,0.89
"426",230,738836.289055099,326577.73780319,237.181381,"2016-03-29","m","juvenil",13.19,4.05
